id,category,prompt,left_image,right_image,prompt_fit_winner,game_asset_usability_winner,style_coherence_winner,notes
001,character,A nimble forest adventurer walking through a colorful side-scrolling fantasy game.,review/001-left.png,review/001-right.png,,,,
002,character,A brave female explorer climbing a cliff in a bright 2D platformer.,review/002-left.png,review/002-right.png,,,,
003,character,A cartoon zombie carrying a supply crate in a side-view action game.,review/003-left.png,review/003-right.png,,,,
004,prop,A weathered deck cannon for a whimsical pirate game.,,,,,,
005,prop,A small wooden pirate dinghy with a patched sail.,,,,,,
006,prop,A wooden ship mast with a patched sail and bold pirate flag.,,,,,,
007,building,A cozy side-view village house with a mossy roof for a platform game.,,,,,,
008,building,"A colorful platformer shopfront with an awning, open door, and hanging sign.",,,,,,
009,building,An isometric medieval town gate with stone walls and a round wooden door.,,,,,,
010,environment,A damaged isometric fantasy castle wall beside a paved town road.,,,,,,
011,environment,"A moonlit desert platformer backdrop with pyramids, cactus silhouettes, and clouds.",,,,,,
012,environment,"A layered woodland game background with pine trees, distant hills, and a wooden fence.",,,,,,
013,fantasy-ui,An ornate fantasy inventory panel with bolted corners and a subtle diagonal pattern.,,,,,,
014,fantasy-ui,A circular adventure minimap frame with compass markings and jewel quest markers.,,,,,,
015,icon,A clear audio mute toggle icon for a game settings menu.,,,,,,
016,icon,A simple multiplayer leaderboard medal icon for a game menu.,,,,,,
017,sci-fi-ship,A compact player starfighter for a bright arcade space shooter.,,,,,,
018,sci-fi-ship,A hostile alien fighter ship for an energetic arcade space battle.,,,,,,
019,visual-effect,A bright laser impact and protective energy shield effect for a sci-fi ship.,,,,,,
020,visual-effect,A stylized cannon blast with fire and smoke for a pirate ship battle.,,,,,,
